三次元骨組解析（入力データ１）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,荷重,,,,,,,,,,,,
座標,,,,断面特性,,,,,,部材要素,,,,,,,,,,,バネ,,,,,,,,集中荷重,,,,,,,,分布荷重,,,,
節点数,9,,,材料数,1,,,,,要素数,8,,,,,,,,,,拘束数,2,,,,,,,集中荷重,0,,,,,,,分布荷重,8,,,
,,,,,,,,,,,,,1（剛結) /  0(ピン結) で指定,,,,,,,,,,,,1 / 0 で指定,,,,,,,,,,,,,,,,
X,Y,Z,,弾性係数,gk,断面積 A (m2),Iy (m4),Iz (m4),,節点1,節点2,材料,x1,y1,z1,x2,y2,z2,fai,,,変位拘束,,,モーメント拘束,,,,,荷重,,,モーメント,,,,,,荷重,,
0,0,0,,21000000,100000,1,0.666666667,0.166666667,,1,2,1,1,1,1,1,1,1,0,,節点,X,Y,Z,X,Y,Z,,節点,X,Y,Z,X,Y,Z,,節点1,節点2,X,Y,Z
5,0,0,,,,,,,,2,3,1,1,1,1,1,1,1,0,,1,1,1,1,0,0,0,,,,,,,,,,1,2,0,-20,0
10,0,0,,,,,,,,3,4,1,1,1,1,1,1,1,0,,9,1,1,1,0,0,0,,,,,,,,,,2,3,0,-20,0
15,0,0,,,,,,,,4,5,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,3,4,0,-20,0
20,0,0,,,,,,,,5,6,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,4,5,0,-20,0
25,0,0,,,,,,,,6,7,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,5,6,0,-20,0
30,0,0,,,,,,,,7,8,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,6,7,0,-20,0
35,0,0,,,,,,,,8,9,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,7,8,0,-20,0
40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,0,-20,0
